BASMID,RCNOW,RCWEEK,RCTYPE,RCPLACE,RCSPEAK,RCSKNFV,RCSKFV,RCFEE,RCREL,RCTANF,RCSSAC,RCEMPL,RCOTHER,RCOTHC,NCNOW,NCWEEK,NCPLACE,NCINHH,NCALKNE,NCSPEAK,NCSKNFV,NCSKFV,NCRCMDPT,NCFEE,NCREL,NCTANF,NCSSAC,NCEMPL,NCOTHER,NCOTHC,CPNNOWX,CPWEEKX,CPTYPE,CPHEADST,CPPLACEX,CPSPRLG,CPWORK,CPSPEAK,CPRCMDPT,CPTEST,CPPHYSE,CPDENTA,CPDISAB,CPSKNFV,CPSKFV,CPFEE,CPREL,CPTANF,CPSSAC,CPEMPL,CPOTHER,CPOTHC,PCEVRHDX,MAINRESN,PPCHOIC,WHYDIFCLT,FOLIBRAY,FOBOOKST,DPIAGE,DPCOUNT,DPNAME,HAPRETRD,HAWORDSX,HACONECTX,HDINTDIS,HDSPEECHX,HDDISTRBX,HDDEAFIMX,HDBLINDX,HDORTHOX,HDAUTISMX,HDPDDX,HDADDX,HDLEARNX,HDDELAYX,HDTRBRAIN,HDOTHERX,HDDLYRSK,HDRECSER,HDSCHLX,HDGOVTX,HDDOCTORX,HDPRISCH,HDIEPX,HDDEVIEPX,HDCOMMUX,HDTCHR,HDACCOMX,HDCOMMITX,HDSPCLED,HDLEARN,HDPLAY,HDOUT,HDFRNDS,TTLHHINC
20161000391,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,8,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,4,1,1,2,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
20161000410,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,-1,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,3
20161000441,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,1,-1,1,2,1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
20161000519,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,4,2,2,2,4,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
20161000528,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,3,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
20161000533,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,3,3,2,2,2,4,2,2,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
20161000545,1,1,4,2,2,2,2,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,-1,2,2,2,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
20161000592,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,-1,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
20161000615,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,3,-1,2,2,2,3,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
20161000676,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,2,2,2,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
